user_id,graduate,master,other_degree,phd
39,Fırat Üniversitesi,Mersin Üniversitesi,unkown,unkown
40,Fırat Üniversitesi,unkown,unkown,unkown
41,Anadolu Üniversitesi,Fırat Üniversitesi,unkown,unkown
42,Anadolu Üniversitesi,unkown,Ulus Mesleki ve Teknik Anadolu Lisesi,unkown
43,Fırat Üniversitesi,unkown,unkown,unkown
44,Fırat Üniversitesi,unkown,unkown,unkown
45,unkown,unkown,Fırat Üniversitesi,unkown
46,Fırat Üniversitesi,unkown,unkown,unkown
47,Fırat Üniversitesi,unkown,unkown,unkown
48,Firat University,unkown,unkown,unkown
49,Fırat Üniversitesi,unkown,unkown,unkown
50,Fırat Üniversitesi,unkown,unkown,unkown
51,Fırat Üniversitesi,unkown,unkown,unkown
52,Fırat Üniversitesi,unkown,unkown,unkown
53,Fırat Üniversitesi,unkown,unkown,unkown
54,Fırat Üniversitesi,unkown,unkown,unkown
55,Fırat Üniversitesi,unkown,unkown,unkown
56,Fırat Üniversitesi,unkown,unkown,unkown
57,Fırat Üniversitesi,unkown,unkown,unkown
58,Fırat Üniversitesi,unkown,unkown,unkown
59,unkown,Sakarya Uygulamalı Bilimler Üniversitesi,Fırat Üniversitesi,unkown
60,Fırat Üniversitesi,unkown,unkown,unkown
61,Fırat Üniversitesi,unkown,unkown,unkown
62,Fırat Üniversitesi,unkown,unkown,unkown
63,Bialystok University of Technology,unkown,unkown,unkown
64,Fırat Üniversitesi,unkown,unkown,unkown
65,Fırat Üniversitesi,unkown,unkown,unkown
66,Fırat Üniversitesi,unkown,Mimar Sinan M.T.A.L,unkown
67,Fırat Üniversitesi,unkown,unkown,unkown
68,Kayseri kavram temel lisesi(BİTDİ,unkown,unkown,unkown
69,Fırat Üniversitesi,unkown,unkown,unkown
70,Fırat Üniversitesi,unkown,unkown,unkown
71,Fırat Üniversitesi,unkown,unkown,unkown
72,Fırat Üniversitesi,unkown,unkown,unkown
73,Ege Üniversitesi,unkown,Fırat Üniversitesi,unkown
74,Anadolu Üniversitesi,unkown,unkown,unkown
75,Fırat Üniversitesi,unkown,unkown,unkown
76,Fırat Üniversitesi,unkown,unkown,unkown
77,Fırat Üniversitesi,unkown,unkown,unkown
78,Fırat Üniversitesi,unkown,unkown,unkown
79,Fırat Üniversitesi,unkown,unkown,unkown
80,Fırat Üniversitesi,unkown,unkown,unkown
81,Fırat Üniversitesi,Kocaeli Üniversitesi,unkown,unkown
82,Fırat Üniversitesi,unkown,unkown,unkown
83,Firat University,Wyższa Szkoła Technologii Informatycznych w Katowicach,unkown,unkown
84,Fırat Üniversitesi,unkown,unkown,unkown
85,Fırat Üniversitesi,unkown,unkown,unkown
86,Firat University,unkown,unkown,unkown
87,Fırat Üniversitesi,unkown,unkown,unkown
88,Fırat Üniversitesi,unkown,unkown,unkown
89,Fırat Üniversitesi,unkown,unkown,unkown
90,Fırat Üniversitesi,unkown,unkown,unkown
91,Fırat Üniversitesi,unkown,unkown,unkown
92,Fırat Üniversitesi,Instituto Politecnico do Cavado e do Ave,unkown,unkown
93,Fırat Üniversitesi,unkown,unkown,unkown
94,Fırat Üniversitesi,unkown,unkown,unkown
95,Fırat Üniversitesi,unkown,unkown,unkown
96,Firat University,unkown,unkown,unkown
97,Fırat Üniversitesi,unkown,unkown,unkown
98,unkown,unkown,Fırat Üniversitesi,unkown
99,Fırat Üniversitesi,unkown,unkown,unkown
100,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
101,Fırat Üniversitesi Teknoloji Fakültesi Yazılım Mühendisliği ,unkown,unkown,unkown
102,unkown,unkown,Firat University,unkown
103,Fırat Üniversitesi,unkown,unkown,unkown
104,Fırat Üniversitesi,unkown,unkown,unkown
105,Fırat Üniversitesi,unkown,unkown,unkown
106,Fırat Üniversitesi,unkown,unkown,unkown
107,unkown,unkown,Firat Üniversitesi,unkown
108,Fırat Üniversitesi,unkown,unkown,unkown
109,Fırat Üniversitesi,unkown,unkown,unkown
110,Fırat Üniversitesi,unkown,unkown,unkown
111,Fırat Üniversitesi,unkown,unkown,unkown
112,Fırat Üniversitesi,unkown,Şehit Üsteğmen Selçuk Esedoğlu Anadolu Lisesi,unkown
113,Fırat Üniversitesi,unkown,unkown,unkown
114,Fırat Üniversitesi,unkown,unkown,unkown
115,Fırat Üniversitesi,unkown,unkown,unkown
116,Fırat Üniversitesi,unkown,unkown,unkown
117,Firat University,unkown,unkown,unkown
118,Firat University,unkown,unkown,unkown
119,Fırat Üniversitesi,unkown,unkown,unkown
120,Firat University,unkown,unkown,unkown
121,unkown,unkown,Fırat Üniversitesi,unkown
122,Fırat Üniversitesi,unkown,unkown,unkown
123,Anadolu Üniversitesi,Hasan Kalyoncu University,unkown,unkown
124,Fırat Üniversitesi,unkown,unkown,unkown
125,Fırat Üniversitesi,unkown,Anadolu Üniversitesi,unkown
126,Fırat Üniversitesi,unkown,unkown,unkown
127,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
128,Fırat Üniversitesi,unkown,unkown,unkown
129,Firat University,unkown,unkown,unkown
130,Fırat Üniversitesi,unkown,unkown,unkown
131,unkown,unkown,Fırat Üniversitesi,unkown
132,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
133,Fırat Üniversitesi,unkown,unkown,unkown
134,Fırat Üniversitesi,unkown,unkown,unkown
135,unkown,unkown,Fırat Üniversitesi,unkown
136,Firat University,Mersin Üniversitesi,unkown,unkown
137,Fırat Üniversitesi,Mehmet Akif Ersoy Üniversitesi,unkown,unkown
138,unkown,unkown,Fırat Üniversitesi,unkown
139,Fırat Üniversitesi,Hasan Kalyoncu University,unkown,unkown
140,Firat University,unkown,unkown,unkown
141,Fırat Üniversitesi,unkown,unkown,unkown
142,Fırat Üniversitesi,unkown,unkown,unkown
143,Fırat Üniversitesi,unkown,unkown,unkown
144,unkown,unkown,Fırat Üniversitesi,unkown
145,Firat University,unkown,unkown,unkown
146,Fırat Üniversitesi,unkown,unkown,unkown
147,Fırat Üniversitesi,unkown,unkown,unkown
148,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
149,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
150,Yedikule Lisesi,unkown,Firat University,unkown
151,unkown,unkown,Fırat Üniversitesi,unkown
152,Fırat Üniversitesi,unkown,unkown,unkown
153,Istanbul Technical University,Firat University,unkown,University of Houston
154,Fırat Üniversitesi,unkown,unkown,unkown
155,Anadolu Üniversitesi,Hasan Kalyoncu University,unkown,unkown
156,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
157,Firat University,unkown,unkown,unkown
158,unkown,unkown,Fırat Üniversitesi,unkown
159,Firat University,Mersin Üniversitesi,unkown,unkown
160,Yedikule Lisesi,unkown,Firat University,unkown
161,Yedikule Lisesi,unkown,Firat University,unkown
162,Ondokuz Mayıs Üniversitesi,unkown,unkown,unkown
163,Fırat Üniversitesi,unkown,unkown,unkown
164,Fırat Üniversitesi,unkown,unkown,unkown
165,Fırat Üniversitesi,Hasan Kalyoncu University,unkown,unkown
166,Ege Üniversitesi,unkown,Fırat Üniversitesi,unkown
167,Fırat Üniversitesi,unkown,unkown,unkown
168,Fırat Üniversitesi,unkown,Şehit Üsteğmen Selçuk Esedoğlu Anadolu Lisesi,unkown
169,Firat University,unkown,unkown,unkown
170,Fırat Üniversitesi,unkown,unkown,unkown
171,Fırat Üniversitesi,unkown,unkown,unkown
172,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
173,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
174,Fırat Üniversitesi,unkown,unkown,unkown
175,Fırat Üniversitesi,Gazi Üniversitesi,unkown,unkown
176,Fırat Üniversitesi,unkown,Afyon Kocatepe Üniversitesi,unkown
177,Fırat Üniversitesi,unkown,Dr. Nurettin Erk Perihan Erk Teknik ve Endüstri Meslek Lisesi,unkown
178,Fırat Üniversitesi ,unkown,unkown,unkown
179,Fırat Üniversitesi,unkown,unkown,unkown
180,unkown,unkown,Fırat Üniversitesi,unkown
181,Fırat Üniversitesi,unkown,unkown,unkown
182,unkown,unkown,Fırat Üniversitesi,unkown
183,Fırat Üniversitesi,unkown,unkown,unkown
184,Fırat Üniversitesi,unkown,unkown,unkown
185,Fırat Üniversitesi,unkown,unkown,unkown
186,Fırat University,unkown,Batman imkb anadolu öğretmen lisesi,unkown
187,Fırat Üniversitesi,unkown,unkown,unkown
188,Fırat Üniversitesi,Üsküdar Üniversitesi,unkown,unkown
189,Fırat Üniversitesi,unkown,unkown,unkown
190,Fırat Üniversitesi,unkown,unkown,unkown
191,Fırat Üniversitesi,unkown,unkown,unkown
192,Fırat University,unkown,unkown,unkown
193,Teknoloji Fakültesi/Fırat Üniversitesi,unkown,unkown,unkown
194,Firat University,Adnan Menderes University,unkown,unkown
195,Fırat Üniversitesi,unkown,unkown,unkown
196,Fırat Üniversitesi,unkown,unkown,unkown
197,Firat University,unkown,unkown,unkown
198,Firat University,unkown,unkown,unkown
199,Firat University,unkown,unkown,unkown
200,Fırat Üniversitesi,unkown,unkown,unkown
201,Firat University,Karabuk University,unkown,unkown
202,Fırat Üniversitesi,unkown,unkown,unkown
203,Fırat Üniversitesi,unkown,unkown,unkown
204,Fırat Üniversitesi,unkown,unkown,unkown
205,Fırat Üniversitesi,Klaipedos Universitetas,unkown,unkown
206,Fırat Üniversitesi,unkown,unkown,unkown
207,Firat University,unkown,Aksaray University,unkown
208,Fırat Üniversitesi,unkown,unkown,unkown
209,Fırat Üniversitesi,unkown,unkown,unkown
210,Fırat Üniversitesi,unkown,Haydar Akın Anadolu Teknik Meslek Lisesi,unkown
211,Fırat Üniversitesi,unkown,unkown,unkown
212,Firat University,unkown,unkown,unkown
213,Fırat Üniversitesi,Harran University,unkown,unkown
214,Fırat Üniversitesi,Yıldız Teknik Üniversitesi,Tuzla Mesleki Teknik Lisesi,unkown
215,Fırat Üniversitesi,unkown,unkown,unkown
216,Fırat Üniversitesi,unkown,unkown,unkown
217,Fırat Üniversitesi,unkown,unkown,unkown
218,Beykent Üniversitesi,unkown,unkown,unkown
219,Fırat Üniversitesi,Sakarya Üniversitesi,unkown,unkown
220,Fırat Üniversitesi,unkown,Mehmet Akif Ersoy Anadolu Lisesi,unkown
221,Fırat University,unkown,unkown,unkown
222,Fırat Üniversitesi,unkown,unkown,unkown
223,Fırat Üniversitesi,Bahçeşehir Üniversitesi,unkown,unkown
224,Fırat Üniversitesi,unkown,unkown,unkown
225,Fırat Üniversitesi,unkown,unkown,unkown
226,Fırat Üniversitesi,unkown,Hasan Ferdi Turgutlu A.T.L,unkown
227,Fırat Üniversitesi,unkown,unkown,unkown
228,Fırat Üniversitesi,unkown,unkown,unkown
229,Firat University,unkown,unkown,unkown
230,Fırat Üniversitesi,İnönü Üniversitesi,unkown,unkown
231,Fırat Üniversitesi,unkown,unkown,unkown
232,Fırat Üniversitesi,unkown,unkown,unkown
233,Fırat Üniversitesi,unkown,unkown,unkown
234,Fırat Üniversitesi,unkown,unkown,unkown
235,Fırat Üniversitesi,unkown,Demirtaşpaşa Teknik Lisesi,unkown
236,Anadolu Üniversitesi,unkown,Fırat Üniversitesi,unkown
237,unkown,unkown,Fırat Üniversitesi,unkown
238,Firat University,unkown,unkown,unkown
239,Firat University,Düzce Üniversitesi,unkown,unkown
240,Fırat Üniversitesi,unkown,unkown,unkown
241,Fırat Üniversitesi,unkown,Turhan Feyzioğlu Mesleki ve Teknik Anadolu Lisesi,unkown
242,Batman Üniversitesi,unkown,unkown,unkown
243,Balıkesir Üniversitesi,Balıkesir Üniversitesi,unkown,Ege Üniversitesi
244,Firat University,Yüzüncü Yıl Üniversitesi,unkown,unkown
245,Fırat Üniversitesi,unkown,unkown,unkown
246,Fırat Üniversitesi,unkown,unkown,unkown
247,Fırat Üniversitesi,unkown,unkown,unkown
248,Fırat Üniversitesi,unkown,Hakkari Mesleki ve Teknik Anadolu Lisesi,unkown
249,FIRAT ÜNİVERSİTESİ,unkown,unkown,unkown
250,Fırat Üniversitesi,unkown,unkown,unkown
251,Fırat Üniversitesi,Firat University,unkown,unkown
252,Fırat Üniversitesi,unkown,unkown,unkown
253,Fırat Üniversitesi,unkown,unkown,unkown
254,Fırat Üniversitesi,unkown,unkown,unkown
255,Fırat University,unkown,Mehmet Cadıl Anadolu Öğretmen Lisesi,unkown
256,Fırat Üniversitesi,unkown,Mehmet Akif Ersoy İ.M.K.B Anadolu Teknik Lisesi,unkown
257,Fırat Üniversitesi,unkown,unkown,unkown
258,Fırat Üniversitesi,unkown,unkown,unkown
259,Fırat Üniversitesi,unkown,unkown,unkown
260,Fırat Üniversitesi,unkown,unkown,unkown
261,Fırat Üniversitesi,unkown,unkown,unkown
262,Fırat Üniversitesi,unkown,unkown,unkown
263,Fırat Üniversitesi,unkown,unkown,unkown
264,Fırat Üniversitesi,unkown,unkown,unkown
265,unkown,unkown,Fırat Üniversitesi,unkown
266,Fırat Üniversitesi,unkown,unkown,unkown
267,unkown,unkown,Fırat Üniversitesi,unkown
268,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
269,Hacı Fatma Erdemir Anadolu Lisesi,unkown,Fırat University,unkown
270,Firat University,Marmara University,unkown,unkown
271,Fırat Üniversitesi,unkown,unkown,unkown
272,Fırat Üniversitesi,unkown,unkown,unkown
273,Fırat Üniversitesi,unkown,unkown,unkown
274,Fırat Üniversitesi,unkown,unkown,unkown
275,Fırat Üniversitesi,unkown,unkown,unkown
276,Fırat Üniversitesi,unkown,unkown,unkown
277,Fırat Üniversitesi,unkown,unkown,unkown
278,Firat University,unkown,unkown,unkown
279,Anadolu Üniversitesi,unkown,unkown,unkown
280,Fırat Üniversitesi,unkown,unkown,unkown
281,Fırat Üniversitesi,unkown,unkown,unkown
282,University of Lodz,unkown,unkown,unkown
283,Firat University,unkown,Firat üniversitesi,unkown
284,Fırat Üniversitesi,unkown,unkown,unkown
285,Fırat Üniversitesi,unkown,unkown,unkown
286,Fırat Üniversitesi,unkown,unkown,unkown
287,Fırat Üniversitesi,unkown,unkown,unkown
288,Fırat Üniversitesi,Cumhuriyet Üniversitesi,unkown,unkown
289,Fırat Üniversitesi,unkown,unkown,unkown
290,Fırat Üniversitesi,unkown,Yunus Emre AML,unkown
291,Fırat Üniversitesi,unkown,unkown,unkown
292,Fırat Üniversitesi,unkown,şanlıurfa teknik lisesi,unkown
293,Fırat Üniversitesi,unkown,unkown,unkown
294,Fırat Üniversitesi,unkown,Edremit Anadolu Teknik Lisesi,unkown
295,Fırat Üniversitesi,unkown,unkown,unkown
296,unkown,unkown,Fırat Üniversitesi,unkown
297,Fırat Üniversitesi,unkown,unkown,unkown
298,Fırat Üniversitesi,unkown,unkown,unkown
299,75.YIL ANADOLU LİSESİ,unkown,Fırat Üniversitesi,unkown
300,Firat University,Marmara University,Amasya Anatolian High School,unkown
301,Fırat Üniversitesi,unkown,Afyon Kocatepe Üniversitesi,unkown
302,Fırat Üniversitesi,unkown,unkown,unkown
303,Sam Houston State University,unkown,unkown,unkown
304,Fırat Üniversitesi,unkown,unkown,unkown
305,Firat University,unkown,unkown,unkown
306,Fırat University,unkown,unkown,unkown
307,Fırat Üniversitesi,unkown,unkown,unkown
308,Fırat Üniversitesi,unkown,unkown,unkown
309,Fırat Üniversitesi,unkown,unkown,unkown
310,Fırat Üniversitesi,unkown,unkown,unkown
311,Fırat Üniversitesi,unkown,unkown,unkown
312,Fırat Üniversitesi,unkown,unkown,unkown
313,Firat University,unkown,unkown,unkown
314,Fırat Üniversitesi,unkown,unkown,unkown
315,Fırat Üniversitesi,Politechnika Białostocka,unkown,unkown
316,Fırat Üniversitesi,unkown,unkown,unkown
317,unkown,unkown,Fırat Üniversitesi,unkown
318,Anadolu Üniversitesi,Hasan Kalyoncu University,unkown,unkown
319,Fırat Üniversitesi,unkown,Sadık Susamcıoğlı Anadolu Lisesi,unkown
320,Fırat Üniversitesi,unkown,unkown,unkown
321,Fırat Üniversitesi,unkown,unkown,unkown
322,Fırat Üniversitesi,unkown,unkown,unkown
323,Fırat Üniversitesi,unkown,unkown,unkown
324,unkown,unkown,Fırat Üniversitesi,unkown
325,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
326,Fırat Üniversitesi,unkown,unkown,unkown
327,Fırat Üniversitesi,unkown,unkown,unkown
328,Fırat Üniversitesi,unkown,unkown,unkown
329,Fırat üniverstesi,unkown,unkown,unkown
330,unkown,unkown,Fırat Üniversitesi,unkown
331,Firat University,unkown,unkown,unkown
332,Fırat Üniversitesi,unkown,unkown,unkown
333,Fırat Üniversitesi,unkown,unkown,unkown
334,Fırat Üniversitesi,unkown,unkown,unkown
335,unkown,unkown,Fırat Üniversitesi,unkown
336,Fırat Üniversitesi,unkown,unkown,unkown
337,Fırat Üniversitesi,unkown,unkown,unkown
338,Fırat Üniversitesi,unkown,unkown,unkown
339,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
340,Dokuz Eylül Üniversitesi,unkown,unkown,unkown
341,Firat University,unkown,unkown,unkown
342,Fırat Üniversitesi,unkown,unkown,unkown
343,Fırat Üniversitesi,unkown,unkown,unkown
344,Fırat Üniversitesi,unkown,unkown,unkown
345,Fırat Üniversitesi,unkown,unkown,unkown
346,unkown,unkown,Niğde Mesleki ve Teknik Anadolu Lisesi,unkown
347,Fırat University,unkown,unkown,unkown
348,Fırat Üniversitesi,unkown,unkown,unkown
349,Fırat Üniversitesi,unkown,unkown,unkown
350,Fırat Üniversitesi,unkown,unkown,unkown
351,Firat University,unkown,unkown,unkown
352,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
353,Firat University,unkown,unkown,unkown
354,Fırat Üniversitesi,unkown,Kâğıthane Anadolu Lisesi,unkown
355,Fırat Üniversitesi,unkown,unkown,unkown
356,Firat University,unkown,Corum Fatih High School (Weighted Foreign Language),unkown
357,Fırat Üniversitesi,unkown,unkown,unkown
358,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
359,Beykent Üniversitesi,unkown,unkown,unkown
360,Fırat Üniversitesi,unkown,unkown,unkown
361,Firat University,unkown,unkown,unkown
362,Fırat Üniversitesi,unkown,unkown,unkown
363,Fırat Üniversitesi,unkown,unkown,unkown
364,Firat University,unkown,unkown,unkown
365,Fırat Üniversitesi,unkown,unkown,unkown
366,Fırat Üniversitesi,unkown,unkown,unkown
367,Fırat Üniversitesi,unkown,unkown,unkown
368,Fırat Üniversitesi,unkown,unkown,unkown
369,Fırat Üniversitesi,unkown,unkown,unkown
370,Fırat Üniversitesi,unkown,unkown,unkown
371,unkown,unkown,Fırat Üniversitesi,unkown
372,Firat University,unkown,Çobanoğlu Vocational and Technical Anatolian High School ,unkown
373,Fırat Üniversitesi,unkown,unkown,unkown
374,Fırat Üniversitesi,unkown,unkown,unkown
375,Fırat Üniversitesi,unkown,unkown,unkown
376,Fırat Üniversitesi,unkown,unkown,unkown
377,Fırat Üniversitesi,unkown,unkown,unkown
378,unkown,İnönü Üniversitesi,Yunus Emre Anadolu ve Endüstri Meslek Lisesi,unkown
379,Korgeneral Hulusi Sayın Anadolu Lisesi,unkown,Fırat Üniversitesi,unkown
380,Fırat Üniversitesi,unkown,unkown,unkown
381,Fırat Üniversitesi,unkown,unkown,unkown
382,Fırat Üniversitesi,unkown,unkown,unkown
383,Fırat Üniversitesi,unkown,unkown,unkown
384,Fırat Üniversitesi,unkown,unkown,unkown
385,Fırat Üniversitesi,unkown,unkown,unkown
386,Fırat Üniversitesi,unkown,unkown,unkown
387,Fırat Üniversitesi,İnönü Üniversitesi,unkown,unkown
388,Fırat Üniversitesi,unkown,Şehit Cengiz Sarıbaş Anadolu Sağlık Meslek Lisesi,unkown
389,Fırat Üniversitesi,unkown,unkown,unkown
390,Fırat Üniversitesi,unkown,Tarsus İMKB Anadolu Teknik Lisesi,unkown
391,Fırat Üniversitesi,unkown,unkown,unkown
392,Sam Houston State University,unkown,unkown,unkown
393,Fırat Üniversitesi,unkown,unkown,unkown
394,Fırat Üniversitesi,Erzincan Üniversitesi,unkown,unkown
395,Firat University,unkown,unkown,unkown
396,Fırat Üniversitesi,unkown,unkown,unkown
397,Bahçeşehir Üniversitesi,unkown,unkown,unkown
398,Fırat Üniversitesi,unkown,unkown,unkown
399,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
400,Fırat Üniversitesi,unkown,unkown,unkown
401,unkown,unkown,Fırat Üniversitesi,unkown
402,Fırat Üniversitesi,unkown,unkown,unkown
403,Fırat Üniversitesi,unkown,unkown,unkown
404,Fırat Üniversitesi,unkown,unkown,unkown
405,unkown,unkown,Fırat Üniversitesi,unkown
406,Fırat Üniversitesi,unkown,unkown,unkown
407,Fırat Üniversitesi,unkown,unkown,unkown
408,Fırat Üniversitesi,İnönü Üniversitesi,unkown,unkown
409,Anatolian University,unkown,Giresun Anatolian Technical High School,unkown
410,Fırat Üniversitesi,Gazi Üniversitesi,unkown,unkown
411,Fırat Üniversitesi,unkown,unkown,unkown
412,Fırat Üniversitesi,unkown,unkown,unkown
413,Fırat Üniversitesi,unkown,unkown,unkown
414,Firat University,unkown,unkown,unkown
415,Fırat Üniversitesi,unkown,unkown,unkown
416,Fırat Üniversitesi,unkown,unkown,unkown
417,Fırat Üniversitesi,unkown,unkown,unkown
418,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
419,Fırat Üniversitesi,unkown,unkown,unkown
420,Fırat Üniversitesi,unkown,unkown,unkown
421,Fırat Üniversitesi,unkown,unkown,unkown
422,unkown,unkown,Fırat Üniversitesi,unkown
423,Fırat Üniversitesi,unkown,unkown,unkown
424,Fırat Üniversitesi,unkown,unkown,unkown
425,Anadolu Üniversitesi,Fırat Üniversitesi,unkown,unkown
426,Fırat Üniversitesi,unkown,unkown,unkown
427,Fırat Üniversitesi,Harran University,unkown,unkown
428,Firat University,unkown,unkown,unkown
429,Fırat Üniversitesi,unkown,unkown,unkown
430,Fırat Üniversitesi,unkown,unkown,unkown
431,Firat University,unkown,unkown,unkown
432,Fırat Üniversitesi,unkown,unkown,unkown
433,Anatolian University,unkown,Giresun Anatolian Technical High School,unkown
434,Erciyes Üniversitesi,unkown,Fırat Üniversitesi,unkown
435,Fırat Üniversitesi,unkown,unkown,unkown
436,Celal Bayar Üniversitesi,unkown,unkown,unkown
437,Fırat Üniversitesi,unkown,Demirtaşpaşa Teknik Lisesi,unkown
438,Fırat Üniversitesi,unkown,unkown,unkown
439,Fırat Üniversitesi,unkown,unkown,unkown
440,Fırat Üniversitesi,unkown,unkown,unkown
441,unkown,unkown,Sakarya Üniversitesi,unkown
442,Fırat Üniversitesi,unkown,unkown,unkown
443,Fırat Üniversitesi,Gazi Üniversitesi,unkown,unkown
444,Fırat Üniversitesi,Gazi Üniversitesi,unkown,unkown
445,Fırat Üniversitesi,unkown,unkown,unkown
446,Fırat Üniversitesi,unkown,unkown,unkown
447,Fırat Üniversitesi,unkown,unkown,unkown
448,Firat University,Nişantaşı üniversitesi,Politechnika Białostocka,unkown
449,Firat University,Firat University,Politechnika Białostocka,unkown
450,Fırat Üniversitesi,unkown,unkown,unkown
451,Fırat Üniversitesi,unkown,unkown,unkown
452,Fırat Üniversitesi,unkown,unkown,unkown
453,Fırat Üniversitesi,unkown,unkown,unkown
454,Fırat Üniversitesi,unkown,unkown,unkown
455,Fırat Üniversitesi,unkown,unkown,unkown
456,Fırat Üniversitesi,İnönü Üniversitesi,unkown,unkown
457,Fırat Üniversitesi,unkown,unkown,unkown
458,Fırat Üniversitesi,unkown,unkown,unkown
459,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
460,Firat University,Mersin Üniversitesi,unkown,unkown
461,Fırat Üniversitesi,İstanbul Üniversitesi,HARPUT MUSİKİ KONSERVATUVARI VE CEMİYETİ( HARPUT Music Conservatory),unkown
462,Fırat Üniversitesi,Gazi Üniversitesi,unkown,unkown
463,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
464,Fırat Üniversitesi,unkown,unkown,unkown
465,Trakya unıversity,Fırat Unıversity.,unkown,unkown
466,Fırat Üniversitesi,unkown,unkown,unkown
467,Yedikule Lisesi,unkown,Firat University,unkown
468,Anatolian University,unkown,Giresun Anatolian Technical High School,unkown
469,unkown,unkown,Fırat Üniversitesi,unkown
470,Fırat Üniversitesi,unkown,unkown,unkown
471,Fırat Üniversitesi,unkown,unkown,unkown
472,Fırat Üniversitesi,unkown,unkown,unkown
473,Fırat Üniversitesi,unkown,unkown,unkown
474,Anadolu Üniversitesi,Hasan Kalyoncu University,unkown,unkown
475,unkown,unkown,Çivril Endüstri Meslek Lisesi,unkown
476,Fırat Üniversitesi,İstanbul Üniversitesi,HARPUT MUSİKİ KONSERVATUVARI VE CEMİYETİ( HARPUT Music Conservatory),unkown
477,Firat University,Mersin Üniversitesi,unkown,unkown
478,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
479,unkown,unkown,Fırat Üniversitesi,unkown
480,Yedikule Lisesi,unkown,Firat University,unkown
481,Fırat Üniversitesi,Firat University,unkown,unkown
482,Yedikule Lisesi,unkown,Firat University,unkown
483,Fırat Üniversitesi,unkown,unkown,unkown
484,Fırat Üniversitesi,Fırat Üniversitesi,unkown,unkown
485,Fırat Üniversitesi,unkown,unkown,unkown
486,Fırat Üniversitesi,unkown,Yunus Emre AML,unkown
487,Fırat Üniversitesi,İstanbul Üniversitesi,HARPUT MUSİKİ KONSERVATUVARI VE CEMİYETİ( HARPUT Music Conservatory),unkown
488,Fırat Üniversitesi,unkown,unkown,unkown
489,Fırat Üniversitesi,unkown,unkown,unkown
490,Firat University,Siauliai State College,unkown,unkown
